funcid,dim,milestone,error
12,10,1,9.101470e+07
12,10,2,3.414681e+07
12,10,3,3.414681e+07
12,10,5,3.414681e+07
12,10,10,3.414681e+07
12,10,20,1.805630e+07
12,10,30,1.801544e+07
12,10,40,1.609148e+07
12,10,50,1.609148e+07
12,10,60,5.770498e+06
12,10,70,5.770498e+06
12,10,80,5.770498e+06
12,10,90,5.770498e+06
12,10,100,2.357057e+06
12,10,1,4.877150e+08
12,10,2,4.877150e+08
12,10,3,4.583276e+08
12,10,5,3.828874e+08
12,10,10,1.332465e+08
12,10,20,9.913820e+07
12,10,30,1.998624e+07
12,10,40,1.998624e+07
12,10,50,1.998624e+07
12,10,60,1.998624e+07
12,10,70,9.029991e+06
12,10,80,9.029991e+06
12,10,90,9.029991e+06
12,10,100,9.029991e+06
12,10,1,4.245056e+07
12,10,2,4.245056e+07
12,10,3,2.675061e+07
12,10,5,2.675061e+07
12,10,10,2.475791e+07
12,10,20,1.885430e+07
12,10,30,1.885430e+07
12,10,40,1.885430e+07
12,10,50,1.885430e+07
12,10,60,1.567184e+07
12,10,70,1.567132e+07
12,10,80,1.567129e+07
12,10,90,1.567129e+07
12,10,100,1.413559e+07
12,10,1,3.356205e+08
12,10,2,3.356205e+08
12,10,3,1.952349e+08
12,10,5,1.295922e+08
12,10,10,1.032704e+08
12,10,20,5.634366e+07
12,10,30,1.090915e+07
12,10,40,1.090915e+07
12,10,50,1.090915e+07
12,10,60,1.090915e+07
12,10,70,1.090915e+07
12,10,80,1.090915e+07
12,10,90,6.989856e+06
12,10,100,6.261829e+06
12,10,1,2.501266e+08
12,10,2,1.625141e+08
12,10,3,1.518495e+08
12,10,5,1.518495e+08
12,10,10,6.524253e+07
12,10,20,4.728872e+07
12,10,30,4.250151e+07
12,10,40,4.250151e+07
12,10,50,3.644497e+07
12,10,60,2.438627e+07
12,10,70,2.382017e+07
12,10,80,2.382017e+07
12,10,90,2.382007e+07
12,10,100,2.382007e+07
12,10,1,9.679557e+07
12,10,2,9.679557e+07
12,10,3,9.679557e+07
12,10,5,9.679557e+07
12,10,10,9.679557e+07
12,10,20,6.863906e+07
12,10,30,2.652603e+07
12,10,40,2.652603e+07
12,10,50,2.652602e+07
12,10,60,2.652602e+07
12,10,70,2.652602e+07
12,10,80,2.652602e+07
12,10,90,1.665780e+07
12,10,100,1.665780e+07
12,10,1,1.668671e+07
12,10,2,1.668671e+07
12,10,3,1.668671e+07
12,10,5,1.668671e+07
12,10,10,1.668671e+07
12,10,20,1.668671e+07
12,10,30,7.747261e+06
12,10,40,7.747261e+06
12,10,50,7.747261e+06
12,10,60,7.747261e+06
12,10,70,7.747261e+06
12,10,80,7.747261e+06
12,10,90,7.747261e+06
12,10,100,7.747261e+06
12,10,1,1.640587e+08
12,10,2,1.618266e+08
12,10,3,1.593731e+08
12,10,5,1.593731e+08
12,10,10,1.154307e+08
12,10,20,1.595393e+07
12,10,30,1.595393e+07
12,10,40,1.595393e+07
12,10,50,1.239063e+07
12,10,60,1.239063e+07
12,10,70,1.239063e+07
12,10,80,1.239063e+07
12,10,90,1.239063e+07
12,10,100,9.616597e+06
12,10,1,9.150820e+07
12,10,2,9.150820e+07
12,10,3,9.150820e+07
12,10,5,4.844369e+07
12,10,10,2.140409e+07
12,10,20,2.140409e+07
12,10,30,1.813960e+07
12,10,40,1.813960e+07
12,10,50,1.813960e+07
12,10,60,1.813960e+07
12,10,70,1.813960e+07
12,10,80,1.580793e+07
12,10,90,1.580760e+07
12,10,100,1.580760e+07
12,10,1,2.854303e+08
12,10,2,1.004399e+08
12,10,3,1.004399e+08
12,10,5,1.004399e+08
12,10,10,4.732150e+07
12,10,20,4.732150e+07
12,10,30,2.600260e+07
12,10,40,8.684630e+06
12,10,50,8.684630e+06
12,10,60,8.684630e+06
12,10,70,8.684630e+06
12,10,80,8.684630e+06
12,10,90,8.684630e+06
12,10,100,8.684630e+06
