funcid,dim,milestone,error
3,10,1,1.339405e+04
3,10,2,1.339405e+04
3,10,3,1.339405e+04
3,10,5,1.339405e+04
3,10,10,1.339405e+04
3,10,20,1.339405e+04
3,10,30,1.339405e+04
3,10,40,1.339405e+04
3,10,50,1.318267e+04
3,10,60,1.246253e+04
3,10,70,1.191611e+04
3,10,80,1.086253e+04
3,10,90,1.033513e+04
3,10,100,9.833887e+03
3,10,1,3.187461e+04
3,10,2,3.187452e+04
3,10,3,1.913880e+04
3,10,5,1.913880e+04
3,10,10,1.913880e+04
3,10,20,1.455962e+04
3,10,30,1.234212e+04
3,10,40,1.080655e+04
3,10,50,8.797464e+03
3,10,60,7.631350e+03
3,10,70,6.765007e+03
3,10,80,5.797239e+03
3,10,90,4.965204e+03
3,10,100,4.617894e+03
3,10,1,7.856356e+03
3,10,2,7.442875e+03
3,10,3,6.405919e+03
3,10,5,6.405919e+03
3,10,10,5.328270e+03
3,10,20,4.745494e+03
3,10,30,4.514287e+03
3,10,40,4.186449e+03
3,10,50,4.002685e+03
3,10,60,3.921461e+03
3,10,70,3.782315e+03
3,10,80,3.699276e+03
3,10,90,3.595464e+03
3,10,100,3.371628e+03
3,10,1,5.129970e+04
3,10,2,5.047641e+04
3,10,3,1.801582e+04
3,10,5,1.644213e+04
3,10,10,1.637582e+04
3,10,20,1.373870e+04
3,10,30,1.209460e+04
3,10,40,1.103670e+04
3,10,50,8.720913e+03
3,10,60,8.230954e+03
3,10,70,7.564666e+03
3,10,80,6.712272e+03
3,10,90,6.141537e+03
3,10,100,5.398261e+03
3,10,1,2.134915e+04
3,10,2,2.059824e+04
3,10,3,1.565935e+04
3,10,5,1.377048e+04
3,10,10,1.376735e+04
3,10,20,1.089177e+04
3,10,30,9.252584e+03
3,10,40,7.935709e+03
3,10,50,6.129736e+03
3,10,60,4.621973e+03
3,10,70,3.990097e+03
3,10,80,2.954677e+03
3,10,90,2.629123e+03
3,10,100,2.373192e+03
3,10,1,5.894850e+04
3,10,2,5.894850e+04
3,10,3,1.860060e+04
3,10,5,1.724682e+04
3,10,10,1.724682e+04
3,10,20,1.468030e+04
3,10,30,1.167594e+04
3,10,40,1.019053e+04
3,10,50,9.080474e+03
3,10,60,7.982944e+03
3,10,70,7.467238e+03
3,10,80,6.424718e+03
3,10,90,5.989720e+03
3,10,100,5.653520e+03
3,10,1,3.611379e+04
3,10,2,3.611379e+04
3,10,3,1.795168e+04
3,10,5,1.685976e+04
3,10,10,1.685976e+04
3,10,20,1.457551e+04
3,10,30,1.330086e+04
3,10,40,1.241177e+04
3,10,50,1.102718e+04
3,10,60,9.691067e+03
3,10,70,9.215258e+03
3,10,80,8.242570e+03
3,10,90,7.466670e+03
3,10,100,7.059477e+03
3,10,1,5.122988e+04
3,10,2,5.121179e+04
3,10,3,5.114237e+04
3,10,5,5.114237e+04
3,10,10,2.601906e+04
3,10,20,2.561186e+04
3,10,30,2.481098e+04
3,10,40,2.481087e+04
3,10,50,2.463497e+04
3,10,60,2.447843e+04
3,10,70,2.433480e+04
3,10,80,2.432593e+04
3,10,90,2.419311e+04
3,10,100,2.419311e+04
3,10,1,1.507177e+04
3,10,2,1.507177e+04
3,10,3,1.507177e+04
3,10,5,1.507177e+04
3,10,10,1.507177e+04
3,10,20,1.507177e+04
3,10,30,1.497978e+04
3,10,40,1.482929e+04
3,10,50,1.429202e+04
3,10,60,1.404014e+04
3,10,70,1.293635e+04
3,10,80,1.232319e+04
3,10,90,1.093790e+04
3,10,100,1.031387e+04
3,10,1,6.322983e+04
3,10,2,6.311859e+04
3,10,3,4.049237e+04
3,10,5,3.739666e+04
3,10,10,3.739666e+04
3,10,20,3.368295e+04
3,10,30,3.157008e+04
3,10,40,3.031605e+04
3,10,50,2.852348e+04
3,10,60,2.721406e+04
3,10,70,2.608503e+04
3,10,80,2.367094e+04
3,10,90,2.199891e+04
3,10,100,2.051337e+04
