funcid,dim,milestone,error
21,30,1,4.687180e+02
21,30,2,4.369263e+02
21,30,3,4.354634e+02
21,30,5,4.354634e+02
21,30,10,4.255649e+02
21,30,20,3.600928e+02
21,30,30,3.600701e+02
21,30,40,3.600699e+02
21,30,50,3.600698e+02
21,30,60,3.600698e+02
21,30,70,3.600698e+02
21,30,80,3.600698e+02
21,30,90,3.600697e+02
21,30,100,3.600697e+02
21,30,1,3.920648e+02
21,30,2,3.739483e+02
21,30,3,3.694574e+02
21,30,5,3.694574e+02
21,30,10,3.493652e+02
21,30,20,3.297969e+02
21,30,30,3.297876e+02
21,30,40,3.297876e+02
21,30,50,3.297865e+02
21,30,60,3.297863e+02
21,30,70,3.297862e+02
21,30,80,3.297862e+02
21,30,90,3.297861e+02
21,30,100,3.297861e+02
21,30,1,3.737035e+02
21,30,2,3.588733e+02
21,30,3,3.570338e+02
21,30,5,3.570338e+02
21,30,10,3.485967e+02
21,30,20,3.154179e+02
21,30,30,3.154106e+02
21,30,40,3.154084e+02
21,30,50,3.154058e+02
21,30,60,3.154058e+02
21,30,70,3.154057e+02
21,30,80,3.154053e+02
21,30,90,3.154050e+02
21,30,100,3.154050e+02
21,30,1,3.439971e+02
21,30,2,3.163788e+02
21,30,3,3.135028e+02
21,30,5,3.135028e+02
21,30,10,3.082616e+02
21,30,20,2.885805e+02
21,30,30,2.885778e+02
21,30,40,2.885778e+02
21,30,50,2.885757e+02
21,30,60,2.885757e+02
21,30,70,2.885757e+02
21,30,80,2.885718e+02
21,30,90,2.885694e+02
21,30,100,2.885694e+02
21,30,1,3.373940e+02
21,30,2,3.326335e+02
21,30,3,3.323366e+02
21,30,5,3.323366e+02
21,30,10,3.250372e+02
21,30,20,2.923848e+02
21,30,30,2.868220e+02
21,30,40,2.863254e+02
21,30,50,2.862080e+02
21,30,60,2.861346e+02
21,30,70,2.856548e+02
21,30,80,2.852706e+02
21,30,90,2.849643e+02
21,30,100,2.847569e+02
21,30,1,3.548521e+02
21,30,2,3.383711e+02
21,30,3,3.377837e+02
21,30,5,3.377837e+02
21,30,10,3.252413e+02
21,30,20,2.989520e+02
21,30,30,2.980010e+02
21,30,40,2.972474e+02
21,30,50,2.970979e+02
21,30,60,2.968585e+02
21,30,70,2.967349e+02
21,30,80,2.966375e+02
21,30,90,2.964887e+02
21,30,100,2.964015e+02
21,30,1,3.313915e+02
21,30,2,3.196777e+02
21,30,3,3.189646e+02
21,30,5,3.189646e+02
21,30,10,3.117602e+02
21,30,20,3.023340e+02
21,30,30,3.014916e+02
21,30,40,3.003752e+02
21,30,50,3.000438e+02
21,30,60,2.996211e+02
21,30,70,2.996187e+02
21,30,80,2.994473e+02
21,30,90,2.994473e+02
21,30,100,2.993708e+02
21,30,1,3.593642e+02
21,30,2,3.233248e+02
21,30,3,3.219802e+02
21,30,5,3.219802e+02
21,30,10,3.143576e+02
21,30,20,2.870447e+02
21,30,30,2.868060e+02
21,30,40,2.868060e+02
21,30,50,2.864683e+02
21,30,60,2.863917e+02
21,30,70,2.863772e+02
21,30,80,2.863540e+02
21,30,90,2.863161e+02
21,30,100,2.862797e+02
21,30,1,5.230670e+02
21,30,2,4.810808e+02
21,30,3,4.782277e+02
21,30,5,4.435081e+02
21,30,10,4.294056e+02
21,30,20,3.813452e+02
21,30,30,3.786172e+02
21,30,40,3.765217e+02
21,30,50,3.749840e+02
21,30,60,3.723918e+02
21,30,70,3.719675e+02
21,30,80,3.719673e+02
21,30,90,3.719670e+02
21,30,100,3.719670e+02
21,30,1,4.454571e+02
21,30,2,4.198541e+02
21,30,3,4.156919e+02
21,30,5,4.156919e+02
21,30,10,3.875791e+02
21,30,20,3.326568e+02
21,30,30,3.326568e+02
21,30,40,3.326568e+02
21,30,50,3.326568e+02
21,30,60,3.326568e+02
21,30,70,3.326532e+02
21,30,80,3.326532e+02
21,30,90,3.326532e+02
21,30,100,3.326532e+02
